Rank;Most commonly-assigned gender;Proportion in males;Name;Incidence
878;M;98;Eun-Seok;1,042
879;M;100;Gwan-u;1,040
880;-;-;Kevin;1,033
881;M;77;Jun-I;1,030
882;M;94;Seung-Jin;1,029
883;M;83;Mi-Reu;1,023
884;M;99;Jeong-Uk;1,022
885;M;70;Hye-Jun;1,021
886;F;2;Na-Rae;1,019
887;F;1;Jin-Ju;1,018
888;F;4;Hui-Jeong;1,015
889;F;48;Seon;1,014
890;M;82;Sun;1,013
891;M;100;Hyeon-jung;1,012
892;F;20;A-Min;1,011
892;M;99;Hyeong-Jin;1,011
894;M;100;In-Jun;1,000
895;M;98;Do-Un;999
896;M;99;Ji-Uk;998
897;M;94;Chan-Seo;996
897;F;4;Yun-seol;996
899;M;99;Jong-Yun;995
900;F;1;Cho-a;994
901;M;100;Ui-jun;991
902;F;26;Yeon;987
903;M;99;Yeong-gwang;982
904;M;97;Jin-Su;975
904;M;88;Min-Hyeong;975
906;M;100;Dae-Han;972
906;F;14;Hye;972
908;M;55;Da-el;971
909;M;59;Seon-Bin;970
910;F;4;Na-won;969
911;F;10;Ga-Min;963
911;F;4;In-A;963
913;F;0;Na-ye;959
914;M;99;Tae-Hyeong;956
915;M;100;I-Chan;955
916;M;99;Jong-Min;953
917;M;100;Ho-Seong;943
918;M;100;Chae-Hun;941
918;M;59;Jin-Ha;941
920;M;100;Jong-u;938
921;M;100;Seok-Min;937
922;F;44;Ju-Yun;936
923;M;95;Do-bin;931
924;F;5;Seul;930
925;F;0;Esther;928
926;F;2;A-ri;927
926;M;93;Hyeong-ju;927
928;-;-;Ki;925
929;M;100;Min-Seop;922
930;M;100;Jeong-Hyeok;918
931;M;100;Jun-o;917
932;M;88;Ji-Hong;913
933;M;100;Tae-Heon;912
933;M;100;Yong-Hyeon;912
935;M;99;Sang-Jin;909
935;M;100;Sang-Uk;909
937;M;98;Won-Jae;907
938;M;100;Ui-Chan;905
939;F;15;Seo-yu;903
940;M;64;Yu;901
941;M;99;Seung-su;898
942;M;98;Ye-hun;893
943;M;99;Yu-Hwan;891
944;F;30;So-mang;890
945;F;9;Yeo-Ul;889
946;F;48;Yun-Bin;888
947;F;43;Geun-Yeong;887
947;F;39;Ji-Bin;887
949;M;93;Won-Bin;886
950;F;12;Bo-Yun;884
951;-;-;Byung;883
951;M;100;Won-Seok;883
953;F;18;Gi-ppeum;881
953;M;100;Jae-Heon;881
955;-;-;Paul;876
956;M;92;Yu-gyeom;875
957;M;63;Han-Bit;874
957;M;78;Ji-Hyeong;874
957;M;100;Jong-Won;874
960;F;26;Min-Yu;873
961;M;100;Hyeon-tae;869
962;M;54;Yeong-In;868
963;M;100;Tae-Gyun;866
964;F;12;Do-i;864
965;F;10;I-Jin;863
966;M;100;Beom-Jin;861
967;F;18;Hyo-In;859
967;F;9;Na-Ra;859
967;M;55;Won-hui;859
967;F;1;Yul-a;859
971;M;99;Samuel;858
972;M;99;Geon-min;857
973;F;2;Ji-Seon;856
974;M;100;Dae-Yun;854
975;F;46;Hae-Min;853
975;F;29;Ye-An;853
977;M;90;Jin-hyeon;852
977;M;89;Seon-hu;852
979;M;97;I-sak;850
980;-;-;Brian;845
981;M;54;Seo-hyeong;843
981;F;34;Ye-yul;843
983;-;-;Soo;841
984;M;79;Chae-Un;839
984;F;0;Hye-Eun;839
986;M;100;Jun-Pyo;838
987;F;0;Da-Mi;837
987;M;95;U-min;837
989;-;-;Joon;835
990;M;100;Yong-u;834
991;M;97;Bo-Seong;829
991;M;86;Ji-Seung;829
991;F;32;La-hyeon;829
994;-;-;Dae;828
995;F;41;Hae-On;826
995;F;30;Ji-eon;826
997;M;100;Yeong-Ung;825
998;M;96;Je-Min;824
999;-;-;Kwang;823
1000;F;10;Chae-ha;821
1000;M;100;Yo-Sep;821
