Rank;Surname;Incidence;Frequency
903;Ran;10;1:5,124,026
903;Ray;10;1:5,124,026
903;Raymond;10;1:5,124,026
903;Reeves;10;1:5,124,026
903;Rhew;10;1:5,124,026
903;Ryang;10;1:5,124,026
903;Sales;10;1:5,124,026
903;Sampath;10;1:5,124,026
903;Samson;10;1:5,124,026
903;Schneider;10;1:5,124,026
903;Shaw;10;1:5,124,026
903;Sonn;10;1:5,124,026
903;Suck;10;1:5,124,026
903;Sullivan;10;1:5,124,026
903;Sup;10;1:5,124,026
903;Sutton;10;1:5,124,026
903;Thai;10;1:5,124,026
903;Ting;10;1:5,124,026
903;Trinh;10;1:5,124,026
903;Tsai;10;1:5,124,026
903;Wade;10;1:5,124,026
903;Wook;10;1:5,124,026
903;Woong;10;1:5,124,026
903;Yamada;10;1:5,124,026
903;Yip;10;1:5,124,026
903;Yoh;10;1:5,124,026
903;Zang;10;1:5,124,026
903;Zeng;10;1:5,124,026
993;Ansari;9;1:5,693,362
993;Baeck;9;1:5,693,362
993;Barnett;9;1:5,693,362
993;Berry;9;1:5,693,362
993;Biggs;9;1:5,693,362
993;Bowen;9;1:5,693,362
993;Bradley;9;1:5,693,362
993;Byoun;9;1:5,693,362
993;Chandler;9;1:5,693,362
993;Chau;9;1:5,693,362
993;Choie;9;1:5,693,362
993;Class;9;1:5,693,362
993;Clayton;9;1:5,693,362
993;Cohen;9;1:5,693,362
993;Cool;9;1:5,693,362
993;Costa;9;1:5,693,362
993;da Silva;9;1:5,693,362
993;Dawson;9;1:5,693,362
993;Delgado;9;1:5,693,362
993;Deng;9;1:5,693,362
993;Dennis;9;1:5,693,362
993;Dho;9;1:5,693,362
993;Eng;9;1:5,693,362
993;Eric;9;1:5,693,362
993;Fleming;9;1:5,693,362
993;From;9;1:5,693,362
993;Gal;9;1:5,693,362
993;Gibbons;9;1:5,693,362
993;Guk;9;1:5,693,362
993;Guy;9;1:5,693,362
993;Haan;9;1:5,693,362
993;Hanson;9;1:5,693,362
993;Harvey;9;1:5,693,362
993;Hein;9;1:5,693,362
993;Hey;9;1:5,693,362
993;Holland;9;1:5,693,362
993;Holt;9;1:5,693,362
993;Huu;9;1:5,693,362
993;Il;9;1:5,693,362
993;Jeff;9;1:5,693,362
993;Jimenez;9;1:5,693,362
993;Joeng;9;1:5,693,362
993;Keem;9;1:5,693,362
993;Kent;9;1:5,693,362
993;Kramer;9;1:5,693,362
993;Kumari;9;1:5,693,362
993;Kuo;9;1:5,693,362
993;Lang;9;1:5,693,362
993;Liao;9;1:5,693,362
993;Logan;9;1:5,693,362
993;Lynch;9;1:5,693,362
993;Mack;9;1:5,693,362
993;Mang;9;1:5,693,362
993;Marks;9;1:5,693,362
993;Meadows;9;1:5,693,362
993;Mehta;9;1:5,693,362
993;Mon;9;1:5,693,362
993;Morrison;9;1:5,693,362
993;My;9;1:5,693,362
993;Nepal;9;1:5,693,362
993;O'Brien;9;1:5,693,362
993;Ohk;9;1:5,693,362
993;Ortiz;9;1:5,693,362
993;Patrick;9;1:5,693,362
993;Phung;9;1:5,693,362
993;Potter;9;1:5,693,362
993;Power;9;1:5,693,362
993;Qian;9;1:5,693,362
993;Queen;9;1:5,693,362
993;Ren;9;1:5,693,362
993;Rich;9;1:5,693,362
993;Robin;9;1:5,693,362
993;Row;9;1:5,693,362
993;Sakong;9;1:5,693,362
993;Santiago;9;1:5,693,362
993;Saunders;9;1:5,693,362
993;Seul;9;1:5,693,362
993;Sims;9;1:5,693,362
993;Sisson;9;1:5,693,362
993;Soni;9;1:5,693,362
993;Sook;9;1:5,693,362
993;Srinivasan;9;1:5,693,362
993;Stanley;9;1:5,693,362
993;Stark;9;1:5,693,362
993;Steel;9;1:5,693,362
993;Stephens;9;1:5,693,362
993;Stevens;9;1:5,693,362
993;Summers;9;1:5,693,362
993;Thi;9;1:5,693,362
993;Tucker;9;1:5,693,362
993;Villanueva;9;1:5,693,362
993;Wagner;9;1:5,693,362
993;Washington;9;1:5,693,362
993;Waters;9;1:5,693,362
993;Weaver;9;1:5,693,362
993;Woods;9;1:5,693,362
993;Yeung;9;1:5,693,362
993;Zee;9;1:5,693,362
